ciclo,passada,iteracao,vizinhanca,recurso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_solver_s,tempo_limite_subproblema_s,curso,ordem_cursos,seed_ordem_cursos,posicao_ordem_curso,tipo_registro,parametro_tipo_vizinhanca,parametro_tempo_modelo_inicial_s,parametro_tempo_heuristica_inicial_s,parametro_tempo_subproblema_s,parametro_tempo_total_maximo_s,parametro_apenas_uma_passada,parametro_salvar_candidatos,parametro_ordem_cursos_solicitada,parametro_seed_ordem_cursos_solicitada,parametro_ordem_cursos,parametro_seed_ordem_cursos,parametro_arquivo_horarios,parametro_arquivo_salas,parametro_arquivo_salas_preferenciais,parametro_diretorio_execucao,parametro_arquivo_melhor_solucao,parametro_arquivo_log_csv,parametro_arquivo_log_json,parametro_gurobi_inicial_TimeLimit,parametro_gurobi_inicial_MIPFocus,parametro_gurobi_inicial_NoRelHeurTime,parametro_gurobi_subproblema_TimeLimit,parametro_gurobi_subproblema_MIPFocus,parametro_gurobi_subproblema_NoRelHeurTime,curso_a,curso_b,posicao_par
1,1,11,curso,MAT,23,4968,90022,OPTIMAL,186355.5,186325.5,True,186325.5,0.74,0.39,600.0,MAT,alfabetica,,11,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,,,
1,1,12,curso,MED,41,9384,85606,OPTIMAL,186325.5,186325.5,False,186325.5,1.13,0.81,600.0,MED,alfabetica,,12,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,,,
1,1,13,curso,PED,56,12788,82202,OPTIMAL,186325.5,186275.5,True,186275.5,2.61,2.28,600.0,PED,alfabetica,,13,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,,,
1,2,1,curso,ADM,48,9292,85698,OPTIMAL,186275.5,186275.5,False,186275.5,0.96,0.62,600.0,ADM,alfabetica,,1,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,,,
1,2,2,curso,AGRO,51,8740,86250,OPTIMAL,186275.5,186275.5,False,186275.5,3.65,3.33,600.0,AGRO,alfabetica,,2,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,,,
1,2,3,curso,CC,47,10534,84456,OPTIMAL,186275.5,186275.5,False,186275.5,1.14,0.81,600.0,CC,alfabetica,,3,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,,,
1,2,4,curso,CS,22,4554,90436,OPTIMAL,186275.5,186275.5,False,186275.5,0.63,0.31,600.0,CS,alfabetica,,4,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,,,
1,2,5,curso,EAS,45,7452,87538,OPTIMAL,186275.5,186275.5,False,186275.5,0.71,0.39,600.0,EAS,alfabetica,,5,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,,,
1,2,6,curso,ENF,18,8510,86480,OPTIMAL,186275.5,186275.5,False,186275.5,2.69,2.36,600.0,ENF,alfabetica,,6,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,,,
1,2,7,curso,FIL,15,2760,92230,OPTIMAL,186275.5,186275.5,False,186275.5,0.62,0.29,600.0,FIL,alfabetica,,7,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,,,
